"You will be redirected to the Hellaspay website when you place an order.","You will be redirected to the Hellaspay website when you place an order."
"You will be redirected to Hellaspay in a few seconds.","You will be redirected to Hellaspay in a few seconds."
"No installments","No installments"
" installments"," installments"
